20.054,10.038,5.124,3.525,2.636,1.678, 
20.056,10.153,5.234,3.635,2.846,1.582, 
20.073,10.17,5.472,3.75,3.044,1.719, 
20.111,10.236,5.316,3.946,3.002,1.978, 
20.206,10.326,5.397,4.048,3.054,1.794, 
20.514,10.787,5.51,3.921,3.018,1.924, 
,,,,,,
,,,,,,
103.061,51.644,25.941,17.435,13.233,6.78, 
103.135,51.671,26.127,17.462,13.442,6.806, 
103.339,51.889,25.996,17.622,13.284,7.101, 
104.077,52.027,26.21,17.707,13.253,6.901, 
104.433,52.287,26.441,17.566,13.43,7.329, 
107.973,54.428,27.378,18.61,14.055,7.262,
